X.chrom,start,stop,enhancer,Cerebellum,PrefrontalCortex
chr1,100799073,100801526,chr1_100800299_hg38,6.33333333333333,43.3333333333333
chr1,100813619,100815719,chr1_100814669_hg38,1.66666666666667,5.33333333333333
chr1,100835124,100837124,chr1_100836124_hg38,5.33333333333333,15.6666666666667
chr1,100846692,100848692,chr1_100847692_hg38,3,9.66666666666667
chr1,100883472,100885472,chr1_100884472_hg38,21,31
chr1,100894110,100897569,chr1_100895839_hg38,423,230.666666666667
chr1,100914661,100916729,chr1_100915695_hg38,5.33333333333333,10.3333333333333
chr1,100926279,100929148,chr1_100927713_hg38,9.33333333333333,17.6666666666667
chr1,100948492,100952097,chr1_100950294_hg38,22.6666666666667,40
chr1,100993997,100996714,chr1_100995355_hg38,7,14.3333333333333
chr1,101001222,101006801,chr1_101004011_hg38,16,29.3333333333333
chr1,101024415,101027146,chr1_101025780_hg38,248,123.333333333333
chr1,101065565,101067576,chr1_101066570_hg38,4.33333333333333,13.3333333333333
chr1,10104546,10110282,chr1_10107414_hg38,271.333333333333,201.666666666667
chr1,101107267,101113636,chr1_101110451_hg38,20.6666666666667,39.6666666666667
chr1,101127443,101129479,chr1_101128461_hg38,5.66666666666667,5.66666666666667
chr1,10112433,10114433,chr1_10113433_hg38,47,68.3333333333333
chr1,101136245,101140881,chr1_101138563_hg38,13.3333333333333,30.3333333333333
chr1,101148428,101152103,chr1_101150265_hg38,10.3333333333333,25.6666666666667
chr1,101160468,101164834,chr1_101162651_hg38,8,21
chr1,101178138,101180138,chr1_101179138_hg38,7,10.6666666666667
chr1,101180782,101183656,chr1_101182219_hg38,5,21.3333333333333
chr1,101186074,101188074,chr1_101187074_hg38,4.33333333333333,16.6666666666667
chr1,101192065,101195468,chr1_101193766_hg38,11.3333333333333,12.6666666666667
chr1,101203106,101205198,chr1_101204152_hg38,37.3333333333333,35.6666666666667
chr1,101219297,101221297,chr1_101220297_hg38,28.3333333333333,23.6666666666667
chr1,101235068,101243923,chr1_101239495_hg38,151.666666666667,247.666666666667
chr1,101245732,101248648,chr1_101247190_hg38,8.66666666666667,18.6666666666667
chr1,101256604,101259674,chr1_101258139_hg38,148.333333333333,20.6666666666667
chr1,101261971,101265852,chr1_101263911_hg38,19.3333333333333,19.3333333333333
chr1,101277736,101279736,chr1_101278736_hg38,5.33333333333333,8
chr1,10126964,10129592,chr1_10128278_hg38,32.6666666666667,104.666666666667
chr1,101287331,101292042,chr1_101289686_hg38,95.6666666666667,44.6666666666667
chr1,101297398,101300643,chr1_101299020_hg38,11.6666666666667,12.6666666666667
chr1,101301529,101303529,chr1_101302529_hg38,4.33333333333333,7
chr1,101307784,101313421,chr1_101310602_hg38,74.6666666666667,51
chr1,10131811,10134086,chr1_10132948_hg38,267,95.6666666666667
chr1,101379359,101381359,chr1_101380359_hg38,3.33333333333333,2.66666666666667
chr1,101387729,101389729,chr1_101388729_hg38,1.33333333333333,15
chr1,1012094,1015698,chr1_1013896_hg38,64.3333333333333,165.333333333333
chr1,101406610,101408610,chr1_101407610_hg38,1.33333333333333,4.33333333333333
chr1,101409286,101412051,chr1_101410668_hg38,4.66666666666667,7
chr1,101434837,101436837,chr1_101435837_hg38,2.66666666666667,3
chr1,10142920,10144953,chr1_10143936_hg38,169,66.3333333333333
chr1,10147009,10149009,chr1_10148009_hg38,60.6666666666667,19.3333333333333
chr1,10149046,10154272,chr1_10151659_hg38,174,99.3333333333333
chr1,10154310,10156431,chr1_10155370_hg38,64.3333333333333,33.6666666666667
chr1,101586569,101588569,chr1_101587569_hg38,4,6.33333333333333
chr1,10158948,10166929,chr1_10162938_hg38,1336,186.666666666667
chr1,101682590,101684745,chr1_101683667_hg38,69.3333333333333,10.3333333333333
chr1,10167071,10174823,chr1_10170947_hg38,948,61.3333333333333
chr1,101744124,101747446,chr1_101745785_hg38,108.333333333333,14.3333333333333
chr1,101780638,101782667,chr1_101781652_hg38,88,16.3333333333333
chr1,101791165,101793165,chr1_101792165_hg38,7,32
chr1,10178380,10180841,chr1_10179610_hg38,521.333333333333,128
chr1,101814894,101816894,chr1_101815894_hg38,35.6666666666667,10.6666666666667
chr1,10183321,10185321,chr1_10184321_hg38,212,21.3333333333333
chr1,101846041,101848101,chr1_101847071_hg38,46,14.6666666666667
chr1,101901282,101904116,chr1_101902699_hg38,127,32.3333333333333
chr1,101908942,101911900,chr1_101910421_hg38,93.6666666666667,16
chr1,10192475,10194475,chr1_10193475_hg38,145.333333333333,24.6666666666667
chr1,101936123,101942237,chr1_101939180_hg38,140.333333333333,60
chr1,101952555,101954555,chr1_101953555_hg38,47.6666666666667,17
chr1,101959227,101961227,chr1_101960227_hg38,72.6666666666667,20.3333333333333
chr1,101967818,101972032,chr1_101969925_hg38,152,27.3333333333333
chr1,101972285,101976773,chr1_101974529_hg38,291.333333333333,31.3333333333333
chr1,101980054,101982054,chr1_101981054_hg38,52.3333333333333,13.3333333333333
chr1,101989559,101994152,chr1_101991855_hg38,160.666666666667,49.6666666666667
chr1,101995231,101997900,chr1_101996565_hg38,351.666666666667,73
chr1,10197171,10205850,chr1_10201510_hg38,1535,40.6666666666667
chr1,1018279,1022382,chr1_1020330_hg38,43.6666666666667,165.333333333333
chr1,102044897,102047453,chr1_102046175_hg38,6,3
chr1,10208753,10214559,chr1_10211656_hg38,675.666666666667,427
chr1,10215314,10217646,chr1_10216480_hg38,50,66.3333333333333
chr1,10240353,10243605,chr1_10241979_hg38,52,36.3333333333333
chr1,1023246,1026158,chr1_1024702_hg38,43,199.333333333333
chr1,10251504,10254914,chr1_10253209_hg38,50.6666666666667,58
chr1,10266290,10268290,chr1_10267290_hg38,61.6666666666667,33.6666666666667
chr1,1026758,1028758,chr1_1027758_hg38,12.6666666666667,71
chr1,10277921,10280150,chr1_10279035_hg38,24.3333333333333,22.6666666666667
chr1,10282092,10288403,chr1_10285247_hg38,196,158
chr1,10291466,10293487,chr1_10292476_hg38,19.6666666666667,23.3333333333333
chr1,10294028,10297796,chr1_10295912_hg38,68,128
chr1,10303296,10305296,chr1_10304296_hg38,39.6666666666667,35.6666666666667
chr1,10307546,10310842,chr1_10309194_hg38,49,56
chr1,103105970,103109475,chr1_103107722_hg38,25,136.666666666667
chr1,10325155,10327295,chr1_10326225_hg38,112.666666666667,41
chr1,1030542,1035450,chr1_1032996_hg38,106.333333333333,232
chr1,10337775,10342518,chr1_10340146_hg38,148.666666666667,205.666666666667
chr1,103524050,103527306,chr1_103525678_hg38,316.333333333333,133
chr1,103559667,103564184,chr1_103561925_hg38,5.33333333333333,19
chr1,103579533,103581533,chr1_103580533_hg38,6,3.33333333333333
chr1,103615659,103617904,chr1_103616781_hg38,2.66666666666667,3.33333333333333
chr1,10373516,10375516,chr1_10374516_hg38,49.6666666666667,56.6666666666667
chr1,10376390,10381149,chr1_10378769_hg38,233.333333333333,165.333333333333
chr1,10384582,10386582,chr1_10385582_hg38,52,51.3333333333333
chr1,10386842,10389887,chr1_10388364_hg38,69.6666666666667,114.333333333333
chr1,10397504,10402167,chr1_10399835_hg38,301,152
chr1,1039396,1041627,chr1_1040511_hg38,34.6666666666667,72.6666666666667
chr1,10413777,10416826,chr1_10415301_hg38,26,39
chr1,10427985,10432278,chr1_10430131_hg38,341.666666666667,128.333333333333
chr1,10456960,10459046,chr1_10458003_hg38,15.6666666666667,15.3333333333333
chr1,104591848,104595045,chr1_104593446_hg38,6.66666666666667,12.6666666666667
chr1,10470917,10476922,chr1_10473919_hg38,459.666666666667,191
chr1,10483503,10485935,chr1_10484719_hg38,11.6666666666667,17.6666666666667
chr1,10488672,10490672,chr1_10489672_hg38,17,26.6666666666667
chr1,10491995,10497213,chr1_10494604_hg38,79.6666666666667,158.666666666667
chr1,10503298,10505298,chr1_10504298_hg38,8.33333333333333,11.6666666666667
chr1,10509421,10514590,chr1_10512005_hg38,45.3333333333333,82.6666666666667
chr1,10514899,10517934,chr1_10516416_hg38,16.3333333333333,28.3333333333333
chr1,10518332,10520445,chr1_10519388_hg38,12.6666666666667,18.3333333333333
chr1,10527178,10529970,chr1_10528574_hg38,17.3333333333333,19.3333333333333
chr1,10539008,10542510,chr1_10540759_hg38,80.3333333333333,28.6666666666667
chr1,10554931,10557343,chr1_10556137_hg38,26.6666666666667,22
chr1,105631486,105633765,chr1_105632625_hg38,5,2.66666666666667
chr1,10577526,10579526,chr1_10578526_hg38,2.33333333333333,6
chr1,10589505,10592690,chr1_10591097_hg38,15.3333333333333,21.3333333333333
chr1,105913529,105915555,chr1_105914542_hg38,19.6666666666667,8
chr1,1058172,1060293,chr1_1059232_hg38,24.3333333333333,48.6666666666667
chr1,10593586,10595626,chr1_10594606_hg38,20.6666666666667,16.3333333333333
chr1,10596396,10600458,chr1_10598427_hg38,32.6666666666667,28.6666666666667
chr1,10601238,10604662,chr1_10602950_hg38,15.6666666666667,15
chr1,106054861,106056861,chr1_106055861_hg38,20.6666666666667,5.66666666666667
chr1,10611497,10613852,chr1_10612674_hg38,60,19.6666666666667
chr1,10614948,10616948,chr1_10615948_hg38,24.6666666666667,47.6666666666667
chr1,10626479,10630231,chr1_10628355_hg38,99.3333333333333,40.3333333333333
chr1,10633544,10638462,chr1_10636003_hg38,82.6666666666667,63.3333333333333
chr1,10638489,10641670,chr1_10640079_hg38,90,52.6666666666667
chr1,1063129,1065129,chr1_1064129_hg38,22,44
chr1,10641977,10645369,chr1_10643673_hg38,106,73.3333333333333
chr1,106567087,106569087,chr1_106568087_hg38,3.66666666666667,2.66666666666667
chr1,10657320,10659748,chr1_10658534_hg38,176.333333333333,16.6666666666667
chr1,10662350,10669812,chr1_10666081_hg38,166,198.666666666667
chr1,106817212,106819212,chr1_106818212_hg38,3,33.6666666666667
chr1,10673815,10696219,chr1_10685017_hg38,919,240.333333333333
chr1,106879037,106881037,chr1_106880037_hg38,4,4.66666666666667
chr1,1067356,1071307,chr1_1069331_hg38,96.3333333333333,83.3333333333333
chr1,10698019,10700019,chr1_10699019_hg38,23.3333333333333,8.66666666666667
chr1,107055385,107058480,chr1_107056932_hg38,499.666666666667,191.333333333333
chr1,107138771,107142813,chr1_107140792_hg38,116,94
chr1,10713894,10719030,chr1_10716462_hg38,56.6666666666667,39.6666666666667
chr1,10719784,10728821,chr1_10724302_hg38,236.666666666667,83
chr1,107246666,107248666,chr1_107247666_hg38,4,6.33333333333333
chr1,107291340,107293567,chr1_107292453_hg38,32,5
chr1,107293808,107295808,chr1_107294808_hg38,56,6.66666666666667
chr1,107325126,107328000,chr1_107326563_hg38,59.6666666666667,18.6666666666667
chr1,10734822,10740537,chr1_10737679_hg38,60,77.6666666666667
chr1,1072573,1075867,chr1_1074220_hg38,22,22.3333333333333
chr1,107450597,107453391,chr1_107451994_hg38,7.66666666666667,6
chr1,10744473,10747650,chr1_10746061_hg38,27.6666666666667,20.6666666666667
chr1,107479100,107481940,chr1_107480520_hg38,84.6666666666667,40.3333333333333
chr1,107498722,107500722,chr1_107499722_hg38,8,2.33333333333333
chr1,107533855,107537176,chr1_107535515_hg38,43.6666666666667,15
chr1,107549868,107551883,chr1_107550875_hg38,44,5.33333333333333
chr1,10755191,10757553,chr1_10756372_hg38,47,28
chr1,107593821,107595821,chr1_107594821_hg38,3.33333333333333,3
chr1,10758486,10763921,chr1_10761203_hg38,33.6666666666667,49
chr1,107625421,107627421,chr1_107626421_hg38,9.66666666666667,17.3333333333333
chr1,10764627,10767301,chr1_10765964_hg38,16.3333333333333,14.6666666666667
chr1,107664673,107670169,chr1_107667421_hg38,20.6666666666667,13.6666666666667
chr1,107670192,107672192,chr1_107671192_hg38,5,5
chr1,107679714,107687058,chr1_107683386_hg38,22.3333333333333,21
chr1,107688236,107691702,chr1_107689969_hg38,18.6666666666667,16.3333333333333
chr1,107737748,107740934,chr1_107739341_hg38,8.33333333333333,12
chr1,107753684,107755684,chr1_107754684_hg38,8,19.3333333333333
chr1,10773702,10777684,chr1_10775693_hg38,30.6666666666667,63.3333333333333
chr1,107782269,107788342,chr1_107785305_hg38,28,40.6666666666667
chr1,10777790,10782346,chr1_10780068_hg38,37.3333333333333,82.6666666666667
chr1,107805044,107807044,chr1_107806044_hg38,3.66666666666667,3.33333333333333
chr1,107817017,107819017,chr1_107818017_hg38,8.66666666666667,10
chr1,107827330,107831633,chr1_107829481_hg38,25.6666666666667,26.6666666666667
chr1,107833782,107835983,chr1_107834882_hg38,17.6666666666667,6
chr1,107839681,107843402,chr1_107841541_hg38,7,10.3333333333333
chr1,107843419,107846025,chr1_107844722_hg38,7.66666666666667,7.33333333333333
chr1,107850040,107852040,chr1_107851040_hg38,3.66666666666667,5.33333333333333
chr1,107866752,107868752,chr1_107867752_hg38,10.6666666666667,9.66666666666667
chr1,107870737,107874732,chr1_107872734_hg38,6.66666666666667,18
chr1,10787356,10789513,chr1_10788434_hg38,28.6666666666667,45.6666666666667
chr1,107894034,107898572,chr1_107896303_hg38,10,15.6666666666667
chr1,107913559,107915738,chr1_107914648_hg38,7.66666666666667,7
chr1,107934681,107939398,chr1_107937039_hg38,7,17
chr1,107939438,107943157,chr1_107941297_hg38,10,17.6666666666667
chr1,10792758,10797419,chr1_10795088_hg38,23.3333333333333,30.3333333333333
chr1,107952583,107954583,chr1_107953583_hg38,6.66666666666667,14
chr1,107961670,107966754,chr1_107964212_hg38,61.3333333333333,86.6666666666667
chr1,1078605,1081120,chr1_1079862_hg38,64.6666666666667,46.6666666666667
chr1,10802245,10805552,chr1_10803898_hg38,13.6666666666667,19.6666666666667
chr1,108040751,108042751,chr1_108041751_hg38,5,10.3333333333333
chr1,108043064,108045165,chr1_108044114_hg38,3.33333333333333,8
chr1,108048410,108054937,chr1_108051673_hg38,28.6666666666667,50
chr1,108057066,108059159,chr1_108058112_hg38,4.66666666666667,8.33333333333333
chr1,108076834,108081119,chr1_108078976_hg38,8.33333333333333,11.6666666666667
chr1,108125756,108127756,chr1_108126756_hg38,11,27.6666666666667
chr1,10814396,10816747,chr1_10815571_hg38,15.3333333333333,14.6666666666667
chr1,108197776,108201920,chr1_108199848_hg38,230,162.666666666667
chr1,10817500,10824048,chr1_10820774_hg38,54,23.3333333333333
chr1,10828389,10830389,chr1_10829389_hg38,8.66666666666667,9.33333333333333
chr1,108532870,108534870,chr1_108533870_hg38,14.6666666666667,6
chr1,108550320,108552320,chr1_108551320_hg38,2.33333333333333,5
chr1,108555239,108563116,chr1_108559177_hg38,335.333333333333,206.666666666667
chr1,108570079,108572079,chr1_108571079_hg38,16.3333333333333,17
chr1,10856841,10859050,chr1_10857945_hg38,17.3333333333333,13.3333333333333
chr1,108582888,108587795,chr1_108585341_hg38,20.3333333333333,40.3333333333333
chr1,108588865,108593418,chr1_108591141_hg38,29.3333333333333,39.6666666666667
chr1,108598822,108600822,chr1_108599822_hg38,10.6666666666667,21
chr1,108608569,108612610,chr1_108610589_hg38,104,33
chr1,10860512,10864449,chr1_10862480_hg38,160.333333333333,33.3333333333333
chr1,108624205,108626205,chr1_108625205_hg38,18.6666666666667,50.3333333333333
chr1,108643194,108648415,chr1_108645804_hg38,249.666666666667,137.333333333333
chr1,108659454,108668559,chr1_108664006_hg38,1111.33333333333,145
chr1,10864461,10868889,chr1_10866675_hg38,143.333333333333,82.3333333333333
chr1,108684753,108689016,chr1_108686884_hg38,258,12.6666666666667
chr1,108690829,108695371,chr1_108693100_hg38,587,252
chr1,108704431,108706431,chr1_108705431_hg38,93.6666666666667,21.6666666666667
chr1,108716924,108720963,chr1_108718943_hg38,107.666666666667,180.333333333333
chr1,108721471,108723471,chr1_108722471_hg38,15,46
chr1,108725329,108727329,chr1_108726329_hg38,8.66666666666667,10.3333333333333
chr1,108732251,108737034,chr1_108734642_hg38,240,23.6666666666667
chr1,108745312,108748377,chr1_108746844_hg38,350,168
chr1,108813719,108819285,chr1_108816502_hg38,201,301
chr1,108827326,108832625,chr1_108829975_hg38,382.333333333333,182.666666666667
chr1,108851477,108853499,chr1_108852488_hg38,17,66
chr1,108875779,108879226,chr1_108877502_hg38,191.333333333333,145.333333333333
chr1,108895578,108897578,chr1_108896578_hg38,16.6666666666667,48.3333333333333
chr1,108947168,108950103,chr1_108948635_hg38,35.6666666666667,69.3333333333333
chr1,108957268,108959268,chr1_108958268_hg38,16,14
chr1,108961603,108964899,chr1_108963251_hg38,359.333333333333,96.6666666666667
chr1,108976429,108978643,chr1_108977536_hg38,10.3333333333333,14
chr1,10899274,10903015,chr1_10901144_hg38,29,52.3333333333333
chr1,109039997,109043652,chr1_109041824_hg38,404.333333333333,179
chr1,10903859,10905902,chr1_10904880_hg38,13.3333333333333,11.6666666666667
chr1,109074970,109077320,chr1_109076145_hg38,325,122.666666666667
chr1,109078933,109081732,chr1_109080332_hg38,20.6666666666667,36.3333333333333
chr1,109082573,109086149,chr1_109084361_hg38,32.6666666666667,103
chr1,109088158,109092943,chr1_109090550_hg38,497.666666666667,273.666666666667
chr1,109093521,109095574,chr1_109094547_hg38,12.6666666666667,30.6666666666667
chr1,109098876,109102031,chr1_109100453_hg38,351,153
chr1,109113026,109118298,chr1_109115662_hg38,194.333333333333,142.333333333333
chr1,109132725,109139526,chr1_109136125_hg38,38,98.3333333333333
chr1,109148176,109152947,chr1_109150561_hg38,26.6666666666667,131.666666666667
chr1,109160890,109163981,chr1_109162435_hg38,15,90.6666666666667
chr1,109179407,109182818,chr1_109181112_hg38,13.3333333333333,24.6666666666667
chr1,109184044,109188010,chr1_109186027_hg38,51.3333333333333,207
chr1,109196853,109199018,chr1_109197935_hg38,10,46.6666666666667
chr1,109212534,109215640,chr1_109214087_hg38,396.666666666667,187.333333333333
chr1,109238814,109243266,chr1_109241040_hg38,288.333333333333,210
chr1,109247009,109256252,chr1_109251630_hg38,1018.33333333333,619
chr1,109261951,109266300,chr1_109264125_hg38,246.666666666667,348.333333333333
chr1,109267846,109269846,chr1_109268846_hg38,64,144.666666666667
chr1,109271323,109278895,chr1_109275109_hg38,184.666666666667,548.333333333333
chr1,109280880,109284750,chr1_109282815_hg38,328.333333333333,395.666666666667
chr1,109297227,109301268,chr1_109299247_hg38,105.666666666667,380.333333333333
chr1,109303008,109310858,chr1_109306933_hg38,137,734
chr1,109312215,109314215,chr1_109313215_hg38,14.3333333333333,123.333333333333
chr1,109350206,109352907,chr1_109351556_hg38,15.6666666666667,63
chr1,109370173,109374439,chr1_109372306_hg38,31.6666666666667,165.333333333333
chr1,10936457,10938457,chr1_10937457_hg38,10,8
chr1,109382541,109387288,chr1_109384914_hg38,35.3333333333333,264.333333333333
chr1,109388681,109399717,chr1_109394199_hg38,221.666666666667,864.333333333333
chr1,109424333,109428223,chr1_109426278_hg38,240,98.3333333333333
chr1,10943207,10945488,chr1_10944347_hg38,22.6666666666667,31.3333333333333
chr1,109465655,109468544,chr1_109467099_hg38,78,36.3333333333333
chr1,109480819,109485678,chr1_109483248_hg38,947.333333333333,245.666666666667
chr1,10947407,10949407,chr1_10948407_hg38,42.6666666666667,26.6666666666667
chr1,109489127,109495299,chr1_109492213_hg38,1178.33333333333,287
chr1,109496160,109505164,chr1_109500662_hg38,995.333333333333,359
chr1,10949739,10951739,chr1_10950739_hg38,30.3333333333333,30.6666666666667
chr1,109507338,109511067,chr1_109509202_hg38,481.666666666667,152.333333333333
chr1,109515754,109517754,chr1_109516754_hg38,9,14.6666666666667
chr1,109527136,109537688,chr1_109532412_hg38,1558.33333333333,547.333333333333
chr1,109538800,109541244,chr1_109540022_hg38,394.333333333333,112.333333333333
chr1,109543364,109545364,chr1_109544364_hg38,63.6666666666667,62.6666666666667
chr1,109545823,109549727,chr1_109547775_hg38,391,260.666666666667
chr1,109562315,109564315,chr1_109563315_hg38,20.6666666666667,21.6666666666667
chr1,10956578,10958684,chr1_10957631_hg38,13,37
chr1,10959711,10961771,chr1_10960741_hg38,25,41.6666666666667
chr1,109614261,109625096,chr1_109619678_hg38,1074.33333333333,572.666666666667
chr1,109630229,109634115,chr1_109632172_hg38,233.333333333333,127
chr1,109642815,109644815,chr1_109643815_hg38,45.6666666666667,35
chr1,109654853,109661346,chr1_109658099_hg38,722.333333333333,209.333333333333
chr1,10964342,10967380,chr1_10965861_hg38,19.6666666666667,47.6666666666667
chr1,109666750,109670427,chr1_109668588_hg38,46,60.3333333333333
chr1,10967454,10970061,chr1_10968757_hg38,18.3333333333333,54.6666666666667
chr1,109686746,109689023,chr1_109687884_hg38,14.3333333333333,40.6666666666667
chr1,109690688,109692701,chr1_109691694_hg38,6,11.6666666666667
chr1,109704824,109706824,chr1_109705824_hg38,8.33333333333333,6.66666666666667
chr1,109710985,109713333,chr1_109712159_hg38,100.333333333333,21.3333333333333
chr1,109715542,109717542,chr1_109716542_hg38,36.3333333333333,28
chr1,109722750,109727277,chr1_109725013_hg38,20.3333333333333,19
chr1,109731244,109734043,chr1_109732643_hg38,25,30.3333333333333
chr1,109738603,109741578,chr1_109740090_hg38,462.666666666667,123.333333333333
chr1,10974988,10977106,chr1_10976047_hg38,39,36
chr1,109759460,109768608,chr1_109764034_hg38,399.333333333333,198
chr1,109769690,109775129,chr1_109772409_hg38,209.666666666667,187
chr1,109776202,109778666,chr1_109777434_hg38,212.666666666667,117.666666666667
chr1,109782060,109784265,chr1_109783162_hg38,15,23
chr1,109785916,109787964,chr1_109786940_hg38,20,34
chr1,109788566,109795777,chr1_109792171_hg38,101,197.666666666667
chr1,109795847,109798973,chr1_109797410_hg38,15,34.3333333333333
chr1,109801076,109804882,chr1_109802979_hg38,62,142
chr1,10978466,10982140,chr1_10980303_hg38,68.3333333333333,129
chr1,109806201,109808602,chr1_109807401_hg38,30,61.6666666666667
chr1,109813742,109817323,chr1_109815532_hg38,23,99
chr1,109817450,109820166,chr1_109818808_hg38,28,81.6666666666667
chr1,109820717,109825373,chr1_109823045_hg38,80,114.333333333333
chr1,109851361,109853361,chr1_109852361_hg38,19.6666666666667,61
chr1,109863745,109866754,chr1_109865249_hg38,16,79.6666666666667
chr1,109871710,109873979,chr1_109872844_hg38,9.66666666666667,63
chr1,109876125,109878711,chr1_109877418_hg38,35,137.333333333333
chr1,109880291,109884878,chr1_109882584_hg38,74.3333333333333,273.333333333333
chr1,109885747,109887828,chr1_109886787_hg38,14.6666666666667,48.3333333333333
chr1,109894571,109897426,chr1_109895998_hg38,31.3333333333333,68.3333333333333
chr1,109902320,109907724,chr1_109905022_hg38,83,154
chr1,109909007,109916352,chr1_109912679_hg38,684.333333333333,426.333333333333
chr1,109917527,109919527,chr1_109918527_hg38,26.3333333333333,32.3333333333333
chr1,109921209,109923209,chr1_109922209_hg38,81.6666666666667,28.6666666666667
chr1,109926065,109932456,chr1_109929260_hg38,453,178
chr1,109933056,109936898,chr1_109934977_hg38,286,32.6666666666667
chr1,109946854,109948990,chr1_109947922_hg38,8.33333333333333,16.3333333333333
chr1,109958792,109960792,chr1_109959792_hg38,9.33333333333333,15
chr1,109977731,109981631,chr1_109979681_hg38,41.3333333333333,59
chr1,109982770,109989949,chr1_109986359_hg38,617,375.666666666667
chr1,109990678,109992678,chr1_109991678_hg38,62.3333333333333,66.6666666666667
chr1,109993465,109997703,chr1_109995584_hg38,298.333333333333,149.666666666667
chr1,110002616,110005491,chr1_110004053_hg38,93.3333333333333,74.3333333333333
chr1,110005685,110010266,chr1_110007975_hg38,341,121.666666666667
chr1,110010539,110013305,chr1_110011922_hg38,68.6666666666667,68.3333333333333
chr1,110030128,110032313,chr1_110031220_hg38,18.3333333333333,29
chr1,110033399,110036718,chr1_110035058_hg38,385.666666666667,153.333333333333
chr1,110037519,110040523,chr1_110039021_hg38,127,18.3333333333333
chr1,110048220,110054995,chr1_110051607_hg38,147.333333333333,157.666666666667
chr1,110055578,110058368,chr1_110056973_hg38,32.6666666666667,47
chr1,110067884,110070501,chr1_110069192_hg38,201.333333333333,68
